LOAIHINHHN,PHAMVIHN,DUONG,PHUONG,QUAN,CVXLCCHN,NGCAPCCHN,NOICAPCCHN,GPP_GDP_GSP,NGAYCAPGCN,NGAYHHGCN
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","725, Nguyễn Duy",Phường 12,Quận 8,,2016-02-16,Sở Y tế Tỉnh Ninh Thuận,GPP,2018-12-10,04/07/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 19, Bùi Hữu Nghĩa",Phường 05,Quận 5,,2019-12-04,Sở Y tế Tỉnh Bình Thuận,GPP,2020-07-17,17/07/2023
nhà thuốc,bán thuốc trừ vắc xin,"141, đường Hồ Văn Tư, Khu phố 3",Phường Trường Thọ,TP. Thủ Đức,,2017-05-31,Sở Y tế Tỉnh Thừa Thiên - Huế,GPP,2017-09-22,22/09/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","391, Tỉnh lộ 10",Phường An Lạc A,Bình Tân,Ds Nguyễn Thị Kim Ngân,2014-02-20,Sở Y tế TP.HCM,GPP,2018-06-20,20/06/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","355, Điện Biên Phủ",Phường 04,Quận 3,Ds Trương Việt Cường,2016-12-20,Sở Y tế TP.HCM,GPP,2017-07-01,01/07/2020
nhà thuốc,bán thuốc trừ vắc xin,"29, Khu phố 10, Đình Nghi Xuân",Phường Bình Trị Đông,Bình Tân,Ds Tô Văn Minh,2016-12-13,Sở Y tế TP.HCM,GPP,2015-06-25,25/06/2018
nhà thuốc,bán thuốc thành phẩm,"28I/2, Khu phố 3",Phường Hiệp Thành,Quận 12,Ds Lê Thị Thu Hòa,2014-06-02,Sở Y tế TP.HCM,GPP,2014-09-30,30/09/2017
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","2272, Phạm Thế Hiển",Phường 06,Quận 8,,2020-03-23,Sở Y tế Tỉnh Đắk Lắk,GPP,2020-07-22,22/07/2023
nhà thuốc,bán thuốc thành phẩm,"1695, Tỉnh Lộ 10, Khu phố 5",Phường Tân Tạo A,Bình Tân,Ds Lê Thị Minh Thảo,2014-10-17,Sở Y tế TP.HCM,GPP,2015-01-21,21/01/2018
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","62, Hoàng Quốc Việt",Phường Phú Mỹ,Quận 7,Ds. Bùi Thanh Nguyệt,2020-10-07,Sở Y tế TP.HCM,GPP,2020-12-24,24/12/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","B6/5A, Ấp 2",Xã Tân Kiên,Bình Chánh,,2017-11-16,Sở Y tế Tỉnh Vĩnh Long,GPP,2019-08-22,22/08/2022
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","58, Đường 815 Tạ Quang Bửu",Phường 05,Quận 8,Ds Trần Minh Trí,2015-09-10,Sở Y tế TP.HCM,GDP,2019-10-03,03/10/2022
doanh nghiệp bán buôn thuốc,bán thuốc thành phẩm,"727, Âu Cơ",Phường Tân Thành,Tân Phú,Ds. Nguyễn Huy Hùng,2019-07-25,Sở Y tế TP.HCM,GDP,2016-03-23,23/03/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","603/5B, Vườn Lài, tổ 32, Khu phố 2",Phường An Phú Đông,Quận 12,Ds Trương Việt Cường,2014-12-12,Sở Y tế TP.HCM,GPP,2018-10-26,26/10/2021
nhà thuốc,bán thuốc thành phẩm,"176, Lê Văn Lương, Khu phố 2",Phường Tân Hưng,Quận 7,Ds Trương Việt Cường,2016-09-01,Sở Y tế TP.HCM,GPP,2016-09-20,20/09/2019
nhà thuốc,bán thuốc thành phẩm,"442, Xô Viết Nghệ Tĩnh",Phường 25,Bình Thạnh,Ds Trần Minh Trí,2015-03-02,Sở Y tế TP.HCM,GPP,2016-07-27,27/07/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","234/15, Phạm Phú Thứ",Phường 04,Quận 6,Ds Trần Thị Như Thủy,2013-08-12,Sở Y tế TP.HCM,GPP,2017-08-15,15/08/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","2301, Quốc lộ 50",Xã Đa Phước,Bình Chánh,Ds. Nguyễn Thị Ngọc Diễm,2019-11-28,Sở Y tế TP.HCM,GPP,2023-07-20,20/07/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","774, Hương lộ 2, Khu phố 6",Phường Bình Trị Đông A,Bình Tân,Ds Tô Văn Minh,2016-11-23,Sở Y tế TP.HCM,GPP,2019-01-03,03/01/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","4/5, Dương Công Khi, ấp 4",Xã Xuân Thới Sơn,Hóc Môn,Ds Lê Thị Minh Thảo,2013-11-26,Sở Y tế TP.HCM,GPP,2020-09-28,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","85, Tân Sơn Nhì",Phường Tân Sơn Nhì,Tân Phú,,2022-11-24,Sở Y tế Tỉnh Thanh Hóa,GPP,2023-02-27,27/02/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","255-257, Hòa Hảo",Phường 04,Quận 10,Ds. Tô Văn Minh,2017-08-17,Sở Y tế TP.HCM,GPP,2021-04-20,20/04/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1940A, Huỳnh Tấn Phát, khu phố 6",Thị trấn Nhà Bè,Nhà Bè,,2014-09-25,Sở Y tế Tỉnh Bình Định,GPP,2019-01-17,02/10/2020
nhà thuốc,bán thuốc thành phẩm,"801, Đoàn Văn Bơ",Phường 18,Quận 4,Ds Trương Việt Cường,2014-05-26,Sở Y tế TP.HCM,GPP,2017-09-11,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","661, Tân Kỳ Tân Quý",Phường Bình Hưng Hòa,Bình Tân,Ds Lê Thị Thu Hòa,2016-09-27,Sở Y tế TP.HCM,GPP,2022-03-10,10/03/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","151/141A, Lũy Bán Bích",Phường Tân Thới Hòa,Tân Phú,Ds Trương Việt Cường,2015-07-09,Sở Y tế TP.HCM,GPP,2018-12-19,19/12/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","53, Trần Mai Ninh",Phường 12,Tân Bình,Ds Trương Việt Cường,2015-04-10,Sở Y tế TP.HCM,GPP,2019-01-17,17/01/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","391, Tỉnh Lộ 10",Phường An Lạc A,Bình Tân,,2022-02-21,Sở Y tế Tỉnh Bình Dương,GPP,2022-11-11,11/11/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","253, Tôn Đản",Phường 15,Quận 4,Ds. Nguyễn Thị Ngọc Diễm,2019-03-11,Sở Y tế TP.HCM,GPP,2017-09-22,22/09/2020
doanh nghiệp bán buôn thuốc,bán thuốc thành phẩm,"68, Bàu Cát",Phường 14,Tân Bình,Ds Tô Văn Minh,2016-03-24,Sở Y tế TP.HCM,GDP,2014-11-28,28/11/2017
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","187, Tạ Quang Bửu",Phường 03,Quận 8,Ds Trần Thị Như Thủy,2013-08-28,Sở Y tế TP.HCM,GPP,2019-06-10,19/12/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","311, Nguyễn Duy Trinh, tổ 52, Khu phố 6",Phường Bình Trưng Tây,TP. Thủ Đức,,2014-01-08,Sở Y tế Tỉnh Bình Định,GPP,2020-07-24,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền","472/A1, Lê Văn Việt, khu phố 4",Phường Tăng Nhơn Phú A,TP. Thủ Đức,Ds Phạm Văn Sơn,2016-11-22,Sở Y tế TP.HCM,GPP,2018-11-06,06/11/2021
nhà thuốc,bán thuốc thành phẩm,"37, Ngô Thị Thu Minh",Phường 02,Tân Bình,Ds Phạm Văn Sơn,2014-03-28,Sở Y tế TP.HCM,GPP,2014-09-18,18/09/2017
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","183-185, Bình Phú",Phường 11,Quận 6,Ds. Lê Thị Minh Thảo,2018-01-16,Sở Y tế TP.HCM,GDP,2020-03-09,09/03/2023
nhà thuốc,bán thuốc thành phẩm,"769/111, Phạm Thế Hiển",Phường 04,Quận 8,Ds Bùi Thanh Nguyệt,2013-07-23,Sở Y tế TP.HCM,GPP,2015-11-23,23/11/2018
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","230, Trần Thị Cờ (TA32 cũ), Tổ 3, Khu phố 6",Phường Thới An,Quận 12,,2016-08-16,Sở Y tế Tỉnh Bạc Liêu,GPP,2020-03-25,25/03/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","706F, Tên Lửa, Khu phố 1",Phường Bình Trị Đông B,Bình Tân,,2014-05-28,Sở Y tế Tỉnh Hậu Giang,GPP,2020-07-16,16/07/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","8/73, Khu phố 5",Thị trấn Hóc Môn,Hóc Môn,Ds Trần Minh Trí,2014-10-02,Sở Y tế TP.HCM,GPP,2018-08-20,20/08/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","285/44, Cách Mạng Tháng 8",Phường 12,Quận 10,,2016-08-05,Sở Y tế TP. Cần Thơ,GPP,2020-10-22,22/10/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","D7/14A, Liên ấp 2-3-4, Ấp 4",Xã Vĩnh Lộc A,Bình Chánh,,2019-12-23,Sở Y tế Tỉnh Đồng Tháp,GPP,2020-12-04,
nhà thuốc,bán thuốc thành phẩm,"65/2, ấp Trung Mỹ Tây",Xã Trung Chánh,Hóc Môn,Ds. Nguyễn Huy Hùng,2012-11-12,Sở Y tế TP.HCM,GPP,2014-07-22,22/07/2017
nhà thuốc,bán thuốc thành phẩm,"D20/4I, Võ Văn Vân, ấp 4",Xã Vĩnh Lộc B,Bình Chánh,,2014-09-10,Sở Y tế Tỉnh Lào Cai,GPP,2015-05-11,11/05/2018
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","124, Đường Liên khu 5-6, Khu phố 5",Phường Bình Hưng Hòa B,Bình Tân,Ds. Trần Minh Trí,2020-11-04,Sở Y tế TP.HCM,GPP,2020-12-30,30/12/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","48-50, Ngô Tất Tố",Phường 19,Bình Thạnh,Ds. Lê Thị Minh Thảo,2023-05-11,Sở Y tế TP.HCM,GPP,2023-08-30,30/08/2026
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 516A, Tỉnh lộ 15, ấp Bến Đình",Xã Nhuận Đức,Củ Chi,,2013-09-09,Sở Y tế Tỉnh Cà Mau,GPP,2020-12-02,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1/2, Quang Trung, Khu phố 7",Thị trấn Hóc Môn,Hóc Môn,Ds Trương Việt Cường,2013-08-12,Sở Y tế TP.HCM,GPP,2020-09-28,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","87, Lê Văn Việt",Phường Hiệp Phú,TP. Thủ Đức,Ds. Thái Thanh Tú,2021-11-12,Sở Y tế TP.HCM,GPP,2021-05-04,04/05/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","293, Tân Thới Hiệp 07",Phường Tân Thới Hiệp,Quận 12,Ds Lê Thị Thu Hòa,2016-12-07,Sở Y tế TP.HCM,GPP,2021-04-09,09/04/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Era 7-9, KDC Kỷ Nguyên, Phạm Hữu Lầu",Phường Phú Mỹ,Quận 7,Ds Trương Việt Cường,2016-02-05,Sở Y tế TP.HCM,GPP,2019-05-10,10/05/2022
nhà thuốc,bán thuốc thành phẩm,"23/1A, Huỳnh Tấn Phát, Khu phố 7",Thị trấn Nhà Bè,Nhà Bè,,2013-07-22,Sở Y tế Tỉnh Bến Tre,GPP,2017-02-03,03/02/2020
nhà thuốc,bán thuốc thành phẩm,"66/8B, Quang Trung",Phường 14,Gò Vấp,,2016-04-25,Sở Y tế TP. Hà Nội,GPP,2016-08-19,19/08/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1284, Nguyễn Duy Trinh, Khu phố Phước Lai",Phường Long Trường,TP. Thủ Đức,Ds. Nguyễn Thị Kim Ngân,2018-10-11,Sở Y tế TP.HCM,GPP,2018-12-19,19/12/2021
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","63, Lô A Cư xá Bùi Minh Trực, đường Bùi Minh Trực",Phường 06,Quận 8,Ds Nguyễn Thị Kim Ngân,2013-11-26,Sở Y tế TP.HCM,GDP,2021-01-07,07/01/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1318A, Nguyễn Duy Trinh, Khu phố Phước Lai",Phường Long Trường,TP. Thủ Đức,Ds Trương Việt Cường,2015-10-30,Sở Y tế TP.HCM,GPP,2019-01-29,09/08/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","F11/17, Võ Hữu Lợi, ấp 6",Xã Lê Minh Xuân,Bình Chánh,,2020-01-06,Sở Y tế Tỉnh Long An,GPP,2020-08-20,20/08/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","152 - 154, Hồng Bàng",Phường 12,Quận 5,Ds Lê Thị Thu Hòa,2015-04-16,Sở Y tế TP.HCM,GPP,2020-07-29,29/07/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","189, Nguyễn Oanh",Phường 10,Gò Vấp,Ds Lê Thị Thu Hòa,2016-10-13,Sở Y tế TP.HCM,GPP,2021-12-28,20/08/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","113, đường số 11, khu phố 4",Phường Linh Xuân,TP. Thủ Đức,,2015-07-22,Sở Y tế Tỉnh Thừa Thiên - Huế,GPP,2016-10-19,19/10/2019
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","157, Trần Văn Quang",Phường 10,Tân Bình,Ds. Bùi Thanh Nguyệt,2017-08-17,Sở Y tế TP.HCM,GPP,2020-04-01,01/04/2023
nhà thuốc,"án lẻ thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","228, Nguyễn Văn Tăng",Phường Long Thạnh Mỹ,TP. Thủ Đức,Ds. Bùi Thanh Nguyệt,2020-06-26,Sở Y tế TP.HCM,GPP,2020-09-04,04/09/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","278, Mã Lò, Khu phố 6",Phường Bình Trị Đông A,Bình Tân,Ds Trần Minh Trí,2016-02-05,Sở Y tế TP.HCM,GPP,2020-06-05,
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","652/25/4, Cộng Hòa",Phường 13,Tân Bình,Ds Phạm Văn Sơn,2016-04-12,Sở Y tế TP.HCM,GDP,2021-02-25,25/02/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 4/27A, Đường Quang Trung, Ấp Nam Thới",Xã Thới Tam Thôn,Hóc Môn,Ds. Nguyễn Trần Công Huân,2019-08-08,Sở Y tế TP.HCM,GPP,2020-01-07,07/01/2023
nhà thuốc,bán thuốc trừ vắc xin,"2C, đường 18B, ấp 4",Xã Bình Chánh,Bình Chánh,Ds Lê Thị Minh Thảo,2013-12-30,Sở Y tế TP.HCM,GPP,2017-07-01,01/07/2020
nhà thuốc,bán thuốc trừ vắc xin,"32, đường số 7 nối dài",Phường Tân Tạo A,Bình Tân,,2016-12-30,Sở Y tế Tỉnh Bến Tre,GPP,2017-09-12,12/09/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","1561, Phạm Thế Hiển",Phường 06,Quận 8,Ds Trần Thị Như Thủy,2014-08-28,Sở Y tế TP.HCM,GPP,2019-04-24,24/04/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","24, TTN13C, Tổ 50, Khu phố 3",Phường Tân Thới Nhất,Quận 12,,2013-07-29,Sở Y tế Tỉnh Vĩnh Long,GPP,2020-07-16,16/07/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","B10/13, Võ Văn Vân ấp 2",Xã Vĩnh Lộc B,Bình Chánh,Ds Bùi Thanh Nguyệt,2013-09-20,Sở Y tế TP.HCM,GPP,2020-01-22,22/01/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","28/10, TTN13D, Tổ 31, Khu phố 2",Phường Tân Thới Nhất,Quận 12,Ds. Bùi Thanh Nguyệt,2022-11-11,Sở Y tế TP.HCM,GPP,2023-04-26,26/04/2026
nhà thuốc bệnh viện công lập,bán thuốc thành phẩm,"50, Lê Văn Việt, khu phố 2",Phường Hiệp Phú,TP. Thủ Đức,Ds Lê Thị Minh Thảo,2016-12-19,Sở Y tế TP.HCM,GPP,2015-07-23,23/07/2018
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","270/2, Nguyễn Thị Định",Phường Bình Trưng Tây,TP. Thủ Đức,Ds. Tô Văn Minh,2017-10-05,Sở Y tế TP.HCM,GPP,2019-04-24,02/11/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","5, Đường 7",Phường Phước Bình,TP. Thủ Đức,Ds Trần Thị Như Thủy,2013-09-26,Sở Y tế TP.HCM,GPP,2020-09-28,
doanh nghiệp bán buôn thuốc,bán thuốc thành phẩm,"L21-22, 134/1, Tô Hiến Thành",Phường 15,Quận 10,Ds Trần Minh Trí,2016-10-13,Sở Y tế TP.HCM,GDP,2014-11-07,07/11/2017
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","84-86-88, Đường A4",Phường 12,Tân Bình,,2017-09-11,Sở Y tế TP. Hà Nội,GDP,2021-01-22,22/01/2024
nhà thuốc,bán thuốc thành phẩm,"10/1B, Ấp 5",Xã Đông Thạnh,Hóc Môn,Ds Lê Thị Minh Thảo,2015-09-21,Sở Y tế TP.HCM,GPP,2014-01-15,15/01/2017
nhà thuốc,bán thuốc trừ vắc xin,"22, Đường số 2, Khu phố 5",Phường Hiệp Bình Chánh,TP. Thủ Đức,,2016-12-28,Sở Y tế Tỉnh Bình Dương,GPP,2017-10-02,01/07/2020
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","40/3, đường Trần văn Mười, Ấp 7",Xã Xuân Thới Thượng,Hóc Môn,Ds Bùi Thanh Nguyệt,2017-02-14,Sở Y tế TP.HCM,GPP,2020-07-24,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 04-A13, đường D7, khu phố 6",Phường Phước Long B,TP. Thủ Đức,Ds. Trần Minh Trí,2020-01-21,Sở Y tế TP.HCM,GPP,2022-12-05,05/12/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","91, Lộ Tẻ",Phường Tân Tạo A,Bình Tân,Ds. Bùi Thanh Nguyệt,2017-11-15,Sở Y tế TP.HCM,GPP,2020-07-10,10/07/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","8/72, Lý Thường Kiệt, khu phố 2",Thị trấn Hóc Môn,Hóc Môn,Ds. Nguyễn Thị Kim Ngân,2017-07-18,Sở Y tế TP.HCM,GPP,2020-10-07,07/10/2023
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Lầu 1-2, số 72, Nguyễn Xí",Phường 26,Bình Thạnh,,2013-09-30,Sở Y tế Hà Nội,GDP,2019-09-20,20/09/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","79B, Phan Văn Hớn, Ấp 7",Xã Xuân Thới Thượng,Hóc Môn,,2019-08-26,Sở Y tế Tỉnh Long An,GPP,2020-05-14,
nhà thuốc,bán thuốc trừ vắc xin,"1313, Lê Đức Thọ",Phường 13,Gò Vấp,,2013-07-18,Sở Y tế tỉnh Lạng Sơn,GPP,2017-10-18,01/07/2020
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","70/64C, Nguyễn Sỹ Sách",Phường 15,Tân Bình,Ds. Bùi Thanh Nguyệt,2014-05-20,Sở Y tế TP.HCM,GDP,2019-10-18,26/06/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","8C, Đường 9, Khu phố 2",Phường Phú Hữu,TP. Thủ Đức,Ds. Bùi Thanh Nguyệt,2018-03-12,Sở Y tế TP.HCM,GPP,2020-04-01,01/04/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","C3/26, Đoàn Nguyễn Tuân, ấp 3",Xã Hưng Long,Bình Chánh,Ds. Trương Việt Cường,2019-11-21,Sở Y tế TP.HCM,GPP,2023-01-27,27/01/2026
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","CC21, Đường Trường Sơn",Phường 15,Quận 10,Ds Lê Thị Thu Hòa,2015-05-25,Sở Y tế TP.HCM,GDP,2020-12-30,30/12/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","134A, Đặng Văn Bi, Khu phố 2",Phường Bình Thọ,TP. Thủ Đức,Ds Trần Thị Như Thủy,2013-09-17,Sở Y tế TP.HCM,GPP,2023-10-02,02/10/2026
cơ sở bán buôn thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 40/56, Nguyễn Giản Thanh",Phường 15,Quận 10,Ds. Bùi Thanh Nguyệt,2021-11-24,Sở Y tế TP.HCM,GDP,2023-01-11,31/10/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","30, Đường Số 6, KDC Bình Đăng",Phường 06,Quận 8,Ds. Nguyễn Thị Kim Ngân,2023-03-13,Sở Y tế TP.HCM,,2023-09-06,06/09/2026
nhà thuốc,bán thuốc trừ vắc xin,"125-127, đường số 8",Phường 04,Quận 8,Ds Lê Thị Thu Hòa,2014-02-13,Sở Y tế TP.HCM,GPP,2017-09-11,
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","72A, Lê Trọng Tấn",Phường Tây Thạnh,Tân Phú,Ds. Nguyễn Thị Ngọc Diễm,2020-07-31,Sở Y tế TP.HCM,GPP,2021-01-22,22/01/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","11 Lô 1, Hưng Phú",Phường 10,Quận 8,Ds. Trần Minh Trí,2017-11-06,Sở Y tế TP.HCM,GPP,2019-09-20,20/09/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","C4/3, Trịnh Như Khuê, Ấp 3",Xã Bình Chánh,Bình Chánh,Ds Lê Thị Minh Thảo,2016-04-25,Sở Y tế TP.HCM,GPP,2021-01-15,15/01/2024
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","693A, Huỳnh Tấn Phát",Phường Phú Thuận,Quận 7,,2013-12-26,Sở Y tế Tỉnh Bến Tre,GPP,2019-05-23,23/05/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","Số 458, Trường Sa",Phường 02,Phú Nhuận,,2013-12-26,Sở Y tế Tỉnh Bến Tre,GPP,2018-12-10,15/09/2020
nhà thuốc,bán thuốc thành phẩm,"120/5B, Thích Quảng Đức",Phường 04,Phú Nhuận,Ds Lê Thị Thu Hòa,2016-12-07,Sở Y tế TP.HCM,GPP,2014-02-18,18/02/2017
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","581, Tỉnh Lộ 10",Phường Bình Trị Đông B,Bình Tân,Ds Lê Thị Thu Hòa,2016-10-19,Sở Y tế TP.HCM,GPP,2020-08-26,26/08/2023
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","279/18 -279/19, Lô A3 Âu Cơ",Phường 15,Quận 11,Ds. Lê Thị Minh Thảo,2021-02-02,Sở Y tế TP.HCM,GPP,2022-05-11,11/05/2025
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","A2/19B, Trần Đại Nghĩa, ấp 1",Xã Tân Kiên,Bình Chánh,Ds Nguyễn Thị Kim Ngân,2014-02-20,Sở Y tế TP.HCM,GPP,2018-06-07,07/06/2021
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","209-209A, Trần Văn Đang",Phường 11,Quận 3,Ds Tô Văn Minh,2017-08-30,Sở Y tế TP.HCM,GPP,2019-01-17,17/01/2022
nhà thuốc,"bán thuốc hóa dược, thuốc dược liệu, thuốc cổ truyền, sinh phẩm","11, Đường Liên khu 5-6, khu phố 6",Phường Bình Hưng Hòa B,Bình Tân,,2018-12-12,Sở Y tế Tỉnh Bình Thuận,GPP,2019-06-20,20/06/2022
nhà thuốc,bán thuốc thành phẩm,"206, Dương Bá Trạc",Phường 02,Quận 8,Ds Phạm Văn Sơn,2014-03-18,Sở Y tế TP.HCM,GPP,2014-09-06,06/09/2017
